#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_id,channel_name,total_subscribers,total_views,total_videos
28,Free Documentary @UCijcd0GR0fkxCAZwkiuWqtQ,4M,-,Germany,,1.2M,UCijcd0GR0fkxCAZwkiuWqtQ,ungespielt,3550000,2131180316,4898
29,ungespielt @UCcn4UOBvB0W2HjCcLFLuu2w,3.8M,0.10%,Germany,,1.1M,UCcn4UOBvB0W2HjCcLFLuu2w,Luxury,3480000,2359,4
30,Lous Reaction @UCmloGqUEraKu2IGQ2SXZ4Rg,3.8M,41%,Germany,,1.1M,UCmloGqUEraKu2IGQ2SXZ4Rg,DW हिन्दी,4900000,1830471544,11610
31,DW हिन्दी @UCc7pPNFBvIhI4iV7m8plJuA,3.7M,-,Germany,,1.1M,UCc7pPNFBvIhI4iV7m8plJuA,Freshtorge,3850000,1709430652,948
32,Freshtorge @UCr3LVdbgOcW4NZEpo0VHnxw,3.7M,0.60%,Germany,,1.1M,UCr3LVdbgOcW4NZEpo0VHnxw,Ikram Bellanova,3630000,473549455,385
33,Ikram Bellanova @UCkLVM-72DqCDi5psyXmeMag,3.7M,-,Germany,Beauty,1.1M,UCkLVM-72DqCDi5psyXmeMag,Robin Schulz,3790000,4571227134,687
34,Robin Schulz @UCLVVBWrp9jw4-SYUoU42hcg,3.6M,-,Germany,Music,1.1M,UCLVVBWrp9jw4-SYUoU42hcg,Bundesliga,5590000,3273241025,12004
35,Bundesliga @UC6UL29enLNe4mqwTfAyeNuw,3.6M,-,Germany,,1.1M,UC6UL29enLNe4mqwTfAyeNuw,Leo,3480000,561265081,81
36,SkyBek craft channel @UCCohOo_tNjrR5JxgLjOb25A,3.6M,-,Germany,,1.1M,UCCohOo_tNjrR5JxgLjOb25A,Essen Recipes,5600000,1242189164,658
37,Essen Rezepte @UCNh35NtktYxumhyASfnF1dg,3.5M,-,Germany,Food and Drink,1.1M,UCNh35NtktYxumhyASfnF1dg,EUROPA Kinderprogramm,3420000,1440222445,517
38,EUROPA Kinderprogramm @UCxkQwIshySkwOqEuZ28o8KA,3.5M,-,Germany,,1.1M,UCxkQwIshySkwOqEuZ28o8KA,LEO ROJAS - official,3890000,1165106154,69
39,LEO ROJAS - official @UCzFnloeM9qA1j7fuJ-7iT3g,3.4M,0.10%,Germany,,1M,UCzFnloeM9qA1j7fuJ-7iT3g,MERO,3560000,1898376580,92
40,MERO @UCeKMrU5GECquXiJl6tnTgPA,3.3M,3%,Germany,,975K,UCeKMrU5GECquXiJl6tnTgPA,Felix von der Laden,3200000,1483767238,4072
41,Felix von der Laden @UChr1sKJ27Fr6WZxAlusbo_w,3.2M,0.10%,Germany,,966K,UChr1sKJ27Fr6WZxAlusbo_w,AirwaveMusicTV,3450000,1537572576,4594
42,AirwaveMusicTV @UCwIgPuUJXuf2nY-nKsEvLOg,3.2M,-,Germany,,966K,UCwIgPuUJXuf2nY-nKsEvLOg,BBlocks,3900000,1326214447,201
43,BBlocks @UCN-IThhgJxrO07kNEqLnpRw,3.2M,-,Germany,,963K,UCN-IThhgJxrO07kNEqLnpRw,Merry Margo Live,3590000,1486534201,519
44,Merry Margo Live @UCry39FTohgDCCSR9pVyFDzg,3.2M,-,Germany,,963K,UCry39FTohgDCCSR9pVyFDzg,Galileo,3320000,3192985844,7368
45,Galileo @UC1XrG1M_hw8103zO2x-oivg,3.2M,-,Germany,,957K,UC1XrG1M_hw8103zO2x-oivg,Mascha und der Bär,6870000,3550554344,1961
46,Keluarga Bahagia Di Jerman @keluargabahagiadijerman,3.1M,0.50%,Germany,,939K,keluargabahagiadijerman,BangerChannel,3000000,1704427145,813
47,Mascha und der Bär @UCA_DdzBmf5yNaxMpVGwZV4g,3.1M,-,Germany,,936K,UCA_DdzBmf5yNaxMpVGwZV4g,DW Español,5490000,3573990367,51579
48,BangerChannel @UCbDNCzgdLlvYY9dk5M8063A,3M,0.60%,Germany,,891K,UCbDNCzgdLlvYY9dk5M8063A,Nuclear Blast Records,3360000,3420701951,7169
49,DW Español @UCT4Jg8h03dD0iN3Pb5L0PMA,3M,-,Germany,,891K,UCT4Jg8h03dD0iN3Pb5L0PMA,The Promise Official,3070000,2463851079,9214
